Date,Type,Registration,Origin,Destination,Duration,Route
12/12/2022,CRJ9,N591NN,KDCA,KPNS,2.3,KDCA KPNS
12/13/2022,CRJ9,N599NN,KPNS,KDCA,2.5,KDCA KPNS
12/13/2022,CRJ9,N599NN,KDCA,KMSY,3,KDCA KMSY
12/14/2022,CRJ9,N549NN,KMSY,KDCA,2.4,KDCA KMSY
12/15/2022,CRJ9,N567NN,KCLT,KCMH,1.3,KCLT KCMH
12/15/2022,CRJ9,N567NN,KCMH,KCLT,1.7,KCLT KCMH
12/15/2022,CRJ9,N567NN,KCLT,KAGS,1,KCLT KAGS
12/16/2022,CRJ9,N567NN,KAGS,KDCA,1.4,KDCA KAGS
12/20/2022,CRJ9,N560NN,KDCA,KSTL,2.5,KDCA KSTL
12/20/2022,CRJ9,N560NN,KSTL,KDCA,2,KDCA KSTL
12/20/2022,CRJ7,N525AE,KDCA,KCRW,1.3,KDCA KCRW
12/21/2022,CRJ7,N527EA,KCRW,KCLT,1.4,KCLT KCRW
12/21/2022,CRJ9,N605NN,KCLT,KBHM,1.5,KCLT KBHM
12/22/2022,CRJ9,N565NN,KBHM,KPHL,2.3,KBHM KPHL
12/22/2022,CRJ9,N581NN,KPHL,KBTV,1.4,KPHL KBTV
12/23/2022,CRJ9,N612NN,KBTV,KDCA,2.4,KDCA KBTV
12/29/2022,CRJ7,N522AE,KDCA,KORF,1.6,KDCA KORF
12/29/2022,CRJ7,N522AE,KORF,KDCA,0.9,KDCA KORF
12/29/2022,CRJ7,N522AE,KDCA,KILM,1.3,KDCA KILM
12/30/2022,CRJ7,N522AE,KILM,KDCA,1.4,KDCA KILM
12/30/2022,CRJ7,N522AE,KDCA,KBHM,2.4,KDCA KBHM
12/30/2022,CRJ7,N522AE,KBHM,KDCA,1.7,KDCA KBHM
1/1/2023,CRJ7,N543EA,KDCA,KAVL,1.5,KDCA KAVL
1/1/2023,CRJ7,N543EA,KAVL,KDCA,1.9,KDCA KAVL
1/1/2023,CRJ7,N543EA,KDCA,KMGM,2,KDCA KMGM
1/1/2023,CRJ7,N543EA,KMGM,KDCA,2,KDCA KMGM
1/5/2023,CRJ7,N525AE,KDCA,KJAX,2.5,KDCA KJAX
1/5/2023,CRJ7,N525AE,KJAX,KDCA,1.8,KDCA KJAX
1/5/2023,CRJ7,N720PS,KDCA,KCAK,1.3,KDCA KCAK
1/6/2023,CRJ9,N561NN,KCAK,KPHL,1.6,KCAK KPHL
1/10/2023,CRJ7,N706PS,KDCA,KRDU,1.1,KDCA KRDU
1/10/2023,CRJ7,N706PS,KRDU,KDCA,1.4,KDCA KRDU
1/20/2023,CRJ7,N702PS,KDCA,KILM,1.4,KDCA KILM
1/20/2023,CRJ7,N702PS,KILM,KDCA,1.3,KDCA KILM
1/20/2023,CRJ9,N612NN,KMHT,KDCA,2.5,KDCA KMHT
1/22/2023,CRJ9,N582NN,KDCA,KPVD,1.3,KDCA KPVD
1/22/2023,CRJ9,N582NN,KPVD,KDCA,1.7,KDCA KPVD
1/24/2023,CRJ7,N539EA,KDCA,KMGM,2.1,KDCA KMGM
1/24/2023,CRJ7,N539EA,KMGM,KDCA,1.7,KDCA KMGM
1/26/2023,CRJ7,N502AE,KDCA,KILM,1.7,KDCA KILM
1/26/2023,CRJ7,N502AE,KILM,KDCA,1.2,KDCA KILM
1/27/2023,CRJ7,N705PS,KDCA,KHPN,1.1,KDCA KHPN
1/27/2023,CRJ7,N705PS,KHPN,KDCA,2,KDCA KHPN
2/1/2023,CRJ9,N597NN,KDCA,KJAX,2.8,KDCA KJAX
2/1/2023,CRJ9,N597NN,KJAX,KPHL,1.8,KJAX KPHL
2/1/2023,CRJ9,N567NN,KPHL,KDTW,1.9,KPHL KDTW
2/2/2023,CRJ7,N517AE,KDTW,KDCA,1.8,KDCA KDTW
2/2/2023,CRJ7,N517AE,KDCA,KBHM,3,KDCA KBHM
2/3/2023,CRJ9,N579NN,KBHM,KCLT,1.5,KCLT KBHM
2/3/2023,CRJ9,N579NN,KCLT,KAGS,1,KCLT KAGS
2/4/2023,CRJ7,N519AE,KAGS,KDCA,1.6,KDCA KAGS
2/4/2023,CRJ7,N519AE,KDCA,KCLE,1.4,KDCA KCLE
2/4/2023,CRJ7,N519AE,KCLE,KDCA,1.4,KDCA KCLE
2/7/2023,CRJ9,N606NN,KDCA,KDAY,1.6,KDCA KDAY
2/7/2023,CRJ9,N606NN,KDAY,KDCA,1.2,KDCA KDAY
2/7/2023,CRJ7,N705PS,KDCA,KTYS,1.8,KDCA KTYS
2/8/2023,CRJ9,N610NN,KTYS,KPHL,1.6,KTYS KPHL
2/8/2023,CRJ7,N543EA,KPHL,KPVD,1.2,KPHL KPVD
2/9/2023,CRJ9,N589NN,KPVD,KDCA,1.6,KDCA KPVD
2/9/2023,CRJ9,N589NN,KDCA,KSAV,2.1,KDCA KSAV
2/10/2023,CRJ9,N598NN,KSAV,KDCA,1.6,KDCA KSAV
2/10/2023,CRJ9,N598NN,KDCA,KDSM,3,KDCA KDSM
2/14/2023,CRJ7,N720PS,KDCA,KBDL,1.5,KDCA KBDL
2/14/2023,CRJ7,N720PS,KBDL,KDCA,1.3,KDCA KBDL
2/14/2023,CRJ9,N611NS,KDCA,KPNS,2.4,KDCA KPNS
2/15/2023,CRJ9,N581NN,KPNS,KCLT,1.6,KCLT KPNS
2/15/2023,CRJ9,N581NN,KCLT,KJAN,2.2,KCLT KJAN
2/16/2023,CRJ7,N538EG,KJAN,KDCA,2.7,KDCA KJAN
2/16/2023,CRJ7,N515AE,KDCA,KROC,1.2,KDCA KROC
2/16/2023,CRJ7,N515AE,KROC,KDCA,1.5,KDCA KROC
2/16/2023,CRJ7,N515AE,KDCA,KBGR,1.7,KDCA KBGR
2/17/2023,CRJ7,N501BG,KBGR,KDCA,2.2,KDCA KBGR
2/20/2023,CRJ7,N502AE,KDCA,KBDL,1.4,KDCA KBDL
2/20/2023,CRJ7,N502AE,KBDL,KDCA,1.5,KDCA KBDL
2/20/2023,CRJ9,N553NN,KDCA,KPNS,2.6,KDCA KPNS
2/21/2023,CRJ9,N576NN,KPNS,KDCA,2.2,KDCA KPNS
2/21/2023,CRJ9,N576NN,KDCA,KBDL,1.4,KDCA KBDL
2/21/2023,CRJ9,N576NN,KBDL,KDCA,1.4,KDCA KBDL
2/21/2023,CRJ9,N557NN,KDCA,KBNA,2.2,KDCA KBNA
2/22/2023,CRJ7,N528EG,KBNA,KDCA,2.2,KDCA KBNA
2/22/2023,CRJ7,N528EG,KDCA,KORF,0.8,KDCA KORF
2/23/2023,CRJ7,N501BG,KORF,KPHL,1.4,KORF KPHL
2/23/2023,CRJ7,N502AE,KPHL,KMYR,2.1,KPHL KMYR
2/23/2023,CRJ7,N502AE,KMYR,KDCA,1.5,KDCA KMYR
2/27/2023,CRJ7,N705PS,KDCA,KBDL,1.9,KDCA KBDL
2/27/2023,CRJ7,N705PS,KBDL,KDCA,1.5,KDCA KBDL
2/27/2023,CRJ9,N599NN,KDCA,KPNS,2.4,KDCA KPNS
2/28/2023,CRJ9,N608NN,KPNS,KCLT,1.6,KCLT KPNS
2/28/2023,CRJ9,N608NN,KCLT,KJAN,2,KCLT KJAN
3/1/2023,CRJ7,N509AE,KJAN,KDCA,2.4,KDCA KJAN
3/1/2023,CRJ7,N509AE,KDCA,KDTW,1.9,KDCA KDTW
3/2/2023,CRJ9,N555NN,KDTW,KDCA,1.9,KDCA KDTW
3/2/2023,CRJ9,N555NN,KDCA,KECP,3.8,KDCA KECP
3/2/2023,CRJ9,N555NN,KECP,KDCA,2.1,KDCA KECP
3/3/2023,CRJ7,N528EG,KDCA,KMHT,1.6,KDCA KMHT
3/8/2023,CRJ9,N592NN,KDCA,KDAY,2.2,KDCA KDAY
3/8/2023,CRJ9,N592NN,KDAY,KDCA,1.3,KDCA KDAY
3/8/2023,CRJ9,N592NN,KDCA,KTLH,2,KDCA KTLH
3/9/2023,CRJ9,N562NN,KTLH,KCLT,1.6,KCLT KTLH
3/9/2023,CRJ9,N557NN,KCLT,KAGS,1.1,KCLT KAGS
3/10/2023,CRJ7,N541EA,KAGS,KDCA,1.5,KDCA KAGS
3/10/2023,CRJ7,N702PS,KDCA,KORF,1,KDCA KORF
3/10/2023,CRJ7,N702PS,KORF,KDCA,1,KDCA KORF
3/10/2023,CRJ7,N501BG,KDCA,KCVG,2.3,KDCA KCVG
3/11/2023,CRJ9,N556NN,KCVG,KDCA,1.6,KDCA KCVG
3/11/2023,CRJ7,N522AE,KDCA,KECP,2.8,KDCA KECP
3/11/2023,CRJ7,N522AE,KECP,KDCA,2.2,KDCA KECP
3/12/2023,CRJ7,N528EG,KDCA,KAVL,1.5,KDCA KAVL
3/12/2023,CRJ7,N528EG,KAVL,KDCA,1.5,KDCA KAVL
3/14/2023,CRJ9,N608NN,KDCA,KMCI,3,KDCA KMCI
